framework,framework_name,entry_id,entry_name,entry_description,disposition,register_ids,register_names,confidence,note
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.2.2,ISO/IEC 42001 Annex A A.2.2,,Mapped,MR-043 | MR-062,Inadequate AI governance and oversight processes | Shadow AI and unsanctioned use of AI tools,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.2.3,ISO/IEC 42001 Annex A A.2.3,,Mapped,MR-040 | MR-043,Regulatory non-compliance and legal liability | Inadequate AI governance and oversight processes,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.2.4,ISO/IEC 42001 Annex A A.2.4,,Mapped,MR-043,Inadequate AI governance and oversight processes,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.3.2,ISO/IEC 42001 Annex A A.3.2,,Mapped,MR-042 | MR-048 | MR-063,Unclear accountability and responsibility for AI decisions | AI competence and skills gaps in the organization | AI inventory blind spots,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.3.3,ISO/IEC 42001 Annex A A.3.3,,Mapped,MR-068,Inadequate AI incident response and communication,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.4.2,ISO/IEC 42001 Annex A A.4.2,,Mapped,MR-045 | MR-063 | MR-064,"Insufficient documentation, transparency and data provenance | AI inventory blind spots | Embedded AI introduced through procurement",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.4.4,ISO/IEC 42001 Annex A A.4.4,,Mapped,MR-018,AI supply-chain and infrastructure vulnerabilities,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.4.5,ISO/IEC 42001 Annex A A.4.5,,Mapped,MR-015 | MR-016 | MR-037,"Residual AI system security and availability weaknesses | Model theft, extraction and weight leakage | Environmental footprint of AI",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.4.6,ISO/IEC 42001 Annex A A.4.6,,Mapped,MR-048 | MR-070,AI competence and skills gaps in the organization | Inadequate AI decommissioning and retirement,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.5.2,ISO/IEC 42001 Annex A A.5.2,,Mapped,MR-067,Absence of AI impact assessment,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.5.4,ISO/IEC 42001 Annex A A.5.4,,Mapped,MR-001 | MR-002 | MR-003 | MR-004 | MR-005 | MR-007 | MR-008 | MR-009 | MR-017 | MR-030 | MR-035 | MR-036 | MR-049 | MR-051,"Biased or discriminatory outputs and decisions | Stereotyping and representational harm | Toxic, hateful, or harassing content generation | Violent or extremist content generation | Child sexual abuse material and child-safety harm | Self-harm, suicide and dangerous-behavior promotion | Sexual content and non-consensual intimate imagery | Leakage of personal or sensitive data | Privacy-invasive inference and re-identification | Manipulation, persuasion and dark patterns | Erosion of human agency and autonomy | Anthropomorphism, emotional dependence and psychological harm | Physical safety harm and accidents | Ethical or value misalignment in outputs and decisions",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.5.5,ISO/IEC 42001 Annex A A.5.5,,Mapped,MR-023 | MR-026 | MR-029 | MR-033 | MR-038 | MR-067,"Contribution to misinformation and information-ecosystem degradation | Disinformation and influence operations | Facilitation of weapons, CBRN and serious physical harm (capability uplift) | Mass surveillance and censorship enablement | Workforce displacement and job-quality decline | Absence of AI impact assessment",Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.6,ISO/IEC 42001 Annex A A.6,,Mapped,MR-070,Inadequate AI decommissioning and retirement,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.6.1.2,ISO/IEC 42001 Annex A A.6.1.2,,Mapped,MR-043 | MR-051,Inadequate AI governance and oversight processes | Ethical or value misalignment in outputs and decisions,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.6.2.2,ISO/IEC 42001 Annex A A.6.2.2,,Mapped,MR-060,Use outside intended scope,Clear,
iso_42001,ISO/IEC 42001 Annex A (numbers only),A.6.2.3,ISO/IEC 42001 Annex A A.6.2.3,,Mapped,MR-045,"Insufficient documentation, transparency and data provenance",Clear,
